recipeNumber	stepNumber	stepTitle	stepDescription
451	3	Step 3	Pour fudge over prepared base, gently spreading to cover. Set aside.
451	4	Step 4	Using an electric mixer, beat cream cheese, sugar and vanilla until light and fluffy. Add eggs, 1 at a time, beating until well combined after each addition. Add cream. Beat for 3 minutes or until combined and mixture thickens slightly. Pour over fudge layer. Place pan on a baking tray.
451	5	Step 5	Bake for 50 minutes or until cheesecake is just set (cheesecake will wobble slightly in centre). Turn oven off. Cool cheesecake in oven with door ajar. Refrigerate for 4 hours or overnight. Serve cheesecake topped with whipped cream, Easter eggs and drizzled with caramel sauce.
452	1	Step 1	Preheat oven to 180°C. Lightly grease an 8-cup capacity ovenproof bowl or pudding bowl.
452	2	Step 2	Sift flour and 2 tablespoons cocoa into prepared bowl. Stir in 1/2 cup sugar. Add milk. Stir until well combined.
452	3	Step 3	Combine remaining 1/2 cup sugar and 1 tablespoon cocoa in a small bowl. Sprinkle over surface of pudding. Gently pour boiling water over the back of a large metal spoon to cover surface of pudding. Dot with butter. Bake for 35 to 45 minutes or until a skewer inserted into the centre comes out clean.
452	4	Step 4	Dust with icing sugar and serve with double cream  or ice-cream.
453	1	Step 1	Grease and line a 3cm deep, 16cm x 26.5cm (base) lamington pan. Combine chocolate and condensed milk in a saucepan over medium heat. Cook, stirring constantly, for 5 minutes or until chocolate has melted and mixture is smooth. Remove from heat.
453	2	Step 2	Place biscuits into a food processor. Process until roughly chopped (do not process to crumbs). Add to chocolate mixture with sultanas and walnuts. Stir until well combined.
453	3	Step 3	Gently press mixture into prepared lamington pan. Cover. Refrigerate for 2 hours, or until set. Cut into pieces. Serve.
454	1	Step 1	Place the condensed milk and chocolate in a small saucepan over low heat. Cook, stirring with a metal spoon, for 2-3 minutes or until the chocolate melts (see microwave tip). Remove fudge sauce from heat and set aside.
454	2	Step 2	Kids' task: Place a scoop of vanilla ice-cream in each serving glass. Drizzle with half the chocolate fudge sauce. Continue layering with the remaining ice-cream and fudge sauce. Serve immediately with the chocolate cream wafers.
455	1	Step 1	Combine chocolate and cream in a heatproof bowl over a saucepan of simmering water. Stir with a metal spoon until smooth. Remove bowl from heat.
455	2	Step 2	Set aside at room temperature to cool, stirring occasionally, until ganache is thick and spreadable.
456	1	Step 1	Place dark chocolate melts in a heatproof bowl. Bring cream just to the boil in a saucepan over medium heat. Pour the cream over chocolate. Set aside for 1 minute. Stir until smooth. Set aside until set.
457	1	Step 1	Preheat oven to 200°C. Grease and line the base of a 20cm springform cake pan.
457	2	Step 2	Place the chocolate, butter and 1 tablespoon sugar in a bowl set over a saucepan of gently simmering water (don't let the bowl touch the water). Stir until the chocolate has melted and the mixture is well combined, then remove the bowl from the pan and set side to cool slightly.
457	3	Step 3	Beat the eggs and remaining sugar in an electric mixer for 10 minutes on medium-high until very thick and pale. Using a metal spoon, gently fold in the flour, then the chocolate mixture, trying to retain as much air as possible.
457	4	Step 4	Pour into the prepared pan and bake in the oven for 12 minutes (the cake won't be completely set at this stage).
457	5	Step 5	Remove the cake from the oven and run a knife around the edge of the pan. Set aside to cool in the pan, then place in the freezer for 4 hours or until set.
457	6	Step 6	Remove the cake from the freezer 1 hour before serving and leave at room temperature to soften.
457	7	Step 7	Meanwhile, for the ganache icing, place the cream in a small saucepan over medium heat and bring to just below boiling point. Place the chocolate in a bowl and pour over the hot cream. Stir together until melted and smooth. Allow to cool for 15 minutes before pouring over the cake.
457	8	Step 8	Cut the cake into slices and serve with Easter eggs, if desired.
458	1	Step 1	Preheat the oven to 180°C. Lightly grease a 3cm-deep, 24.5cm (base measurement) fluted tart tin, with removable base.
458	2	Step 2	For the pastry, process the flour, butter, icing sugar and cocoa in a food processor until the mixture resembles fine breadcrumbs. Add the egg yolks and process until the dough starts to come together. Turn onto a lightly floured surface and knead until smooth. Shape into a disc. Cover and place in fridge for 30 minutes to rest. Roll the out the pastry between 2 sheets of baking paper to a 4mm-thick disc. Line the prepared tin with the pastry. Trim any excess. Place in the fridge for 30 minutes to rest.
458	3	Step 3	Meanwhile, wrap the beetroot in foil and roast for 40 minutes or until tender. Cool. Peel and halve beetroot. Process the beetroot and cherries in a food processor until finely chopped.
458	4	Step 4	Stir the sugar and brandy in a small saucepan over medium-low heat for 1-2 minutes or until sugar dissolves. Bring to the boil. Simmer for 1 minute or until thickened slightly. Add sugar syrup, water and lemon juice to beetroot mixture and process until smooth. Strain through a sieve set over a bowl, pressing to extract extra liquid. Discard solids. Strain liquid again. You should have approximately 1 cup of liquid. If short, top up with water.
458	5	Step 5	Place the tin on a baking tray. Line the pastry with baking paper and fill with pastry weights or rice. Bake for 15 minutes or until firm. Remove the paper and pastry weights or rice. Bake for 12-15 minutes or until cooked through. Brush the base and any cracks with egg white. Place in oven for 2 minutes. Set aside to cool.
458	6	Step 6	Place chocolate in a heatproof bowl. Bring cream just to the boil in a saucepan over medium-low heat. Pour over the chocolate. Stand for 2 minutes. Stir until melted and smooth. Cool for 5 minutes, stirring occasionally. Pour over the pastry and place in the fridge for 1 hour to set.
458	7	Step 7	Soak gelatine leaves in cold water for 5 minutes. Squeeze to remove excess liquid. Stir in a small saucepan over low heat for 30 seconds or until dissolved. Remove from heat and whisk in beetroot mixture. Strain into a jug. Remove any foam from the surface. Pour over chocolate, do not over-fill. Chill for 2 hours or until set. Stand at room temperature for 15 minutes before serving. Sprinkle with herbs.
459	1	Step 1	Whisk together 1 cup milk with the sugar, cornflour and cocoa.
459	2	Step 2	Place the remaining milk in a saucepan and bring to the boil.
459	3	Step 3	Pour the milk over the chocolate mixture and stir to combine. Return the mixture to the saucepan and stir over low heat for about 10 minutes or until thickened.
459	4	Step 4	Pour the mixture into a shallow container and freeze until frozen at the edges.
459	5	Step 5	Remove from freezer and beat with an electric beater. Pour back into container and re-freeze. Repeat 2 or 3 times. (Alternatively use an ice-cream machine following manufacturer's directions.)
460	1	Step 1	Preheat the oven to 190°C.
460	2	Step 2	Place the tart cases on a baking tray and prick the bases with a fork. Bake for 15 minutes until lightly golden and cooked through.
460	3	Step 3	Place ginger syrup in a small saucepan, add chocolates and cook over very low heat for 1-2 minutes, stirring until chocolate melts. Add cream and butter, and stir until butter has melted and mixture is combined (do not overheat). Pour into tart cases and refrigerate for 15 minutes to chill and firm.
460	4	Step 4	Just before serving, dice the stem ginger and use to decorate tarts. Serve with extra cream if desired.
461	1	Step 1	Preheat oven to 180°C. Line three oven trays with baking paper. Use an electric mixer to beat the butter, sugar and golden syrup together until pale and creamy. Add the egg yolks and beat until just combined. Add the flour, cocoa powder, ginger, cinnamon and cloves and stir to combine. Use your hands to bring the dough together. Turn onto a lightly floured surface and gently knead until smooth. Cover with plastic wrap and place in the fridge for 30 minutes to rest.
461	2	Step 2	Divide the dough into six even portions. To make a side wall, roll out 1 dough portion on a lightly floured surface until 5mm thick. Use a small sharp knife to trim into a 12 x 20cm rectangle and place on a prepared tray. Use a small sharp knife to cut 3cm squares to create windows. Repeat with a second dough portion. Bake in preheated oven for 15-20 minutes or until golden brown. Remove from oven and set aside on the trays to cool.
461	3	Step 3	Meanwhile, roll out another dough portion to a 5mm thick disc. Use a small sharp knife to trim to a 12 x 12cm square with 5cm pitch for roof. Place on a lined tray. Repeat with another dough portion. Bake in preheated oven for 15-20 minutes or until golden brown.
461	4	Step 4	Roll out the remaining 2 dough portions to 5mm thick disc. Trim to a 9.5 x 22cm rectangles. Cut out a 3cm square from a long side of each rectangle to create a hole for a chimney. Place on lined trays. Roll any remaining dough into four 3 x 5cm rectangles for the chimney. Cut a wedge out of 2 rectangles to allow for the roof pitch. Place on the lined tray. Bake for 15-20 minutes or until golden brown. Remove from oven and set aside to cool completely.
461	5	Step 5	To make the royal icing, place the icing sugar in a medium bowl. Add the lemon juice and half the egg white. Stir to make a firm paste, adding more eggwhite if necessary. Cover with plastic wrap directly onto the surface of the icing until required.
461	6	Step 6	Place icing into a piping bag fitted with a 3.5cm diameter plain nozzle. Pipe icing onto the sides and roof panels to decorate. Set aside for 30 minutes to set.
461	7	Step 7	To put the house together, pipe along the base and side of 1 wall panel. Stand on a flat serving platter, using a straight sided glass to support the wall. Repeat with the remaining wall panels to make the walls of the house. Set aside for 2 hours or overnight to set.
461	8	Step 8	Pipe around the top edges of the walls. Attach the roof panels. Pipe along the top of the roof to secure. Set aside for 2 hours to set.
461	9	Step 9	Decorate the roof and walls with remaining icing.
462	1	Step 1	Preheat oven to 180C/160C fan-forced. Grease 2 large baking trays. Line trays with baking paper.
462	2	Step 2	Using an electric mixer, beat butter and sugar until light and fluffy. Add golden syrup. Beat to combine. Sift over cinnamon, ginger, cocoa and flour. Stir until a soft dough forms. Turn out dough onto a lightly floured surface. Knead until smooth. Shape into a disc. Wrap in plastic wrap. Refrigerate for 1 hour.
462	3	Step 3	Roll out dough between 2 sheets of baking paper until 5mm thick. Using the 9cm star-shaped cutter, cut 6 stars from dough. Repeat process using the 7.5cm, 5cm, 4cm and 2.5cm star-shaped cutters, re-rolling and cutting dough trimmings. Place stars, 3cm apart, on prepared trays. Bake, 1 tray at a time, for 12 to 15 minutes or until lightly browned. Working with 1 star at a time, and leaving the smallest stars plain, brush hot stars with cold water and sprinkle with gold sugar sprinkles. Stand on trays to cool completely.
462	4	Step 4	Meanwhile, whisk egg white in a small bowl until foamy. Add icing sugar, 1 tablespoon at a time, whisking until smooth and combined.
462	5	Step 5	Place 9cm stars on a sheet of baking paper. Spoon a little of the icing in the centre of each star. Using the picture as a guide, top each star with a 7.5cm star, rotating the star so the points sit at a different angle to the star below. Repeat layering with more icing and remaining stars (except for the smallest stars) to resemble 6 Christmas trees. Spoon a little icing on the top of each Christmas tree. Top each tree with a small star, standing upright. Stand Christmas trees for 30 minutes or until set. Sprinkle with more gold sprinkles. Serve.
463	1	Step 1	To make the glaze topping, place all ingredients in a saucepan over low heat, stirring occasionally, until the chocolate has melted and the ingredients are well combined, smooth and glossy.
463	2	Step 2	Pour the glaze over the top of the cake.
464	1	Step 1	Preheat oven to 150C/130C fan forced and line 2 baking trays with baking paper. Combine  puffed rice, coconut chips, buckwheat, flaked almonds, sunflower-seeds and chia seeds in a bowl.
464	2	Step 2	Microwave coconut oil and rice malt syrup in a heatproof bowl for 1 1/2 minutes. Whisk in cacao powder. Stir through rice mixture.
464	3	Step 3	Spread over the prepared trays and bake, stirring occasionally, for 28 minutes or until crisp.
465	1	Step 1	Preheat oven to 200C. Roast nuts on an oven tray for 10 minutes or until golden and skins are flaking. Rub well in a clean tea towel to remove skins. Chop coarsely.
465	2	Step 2	Sift flour, cocoa, sugar, baking powder and cinnamon into a bowl. Combine eggs, orange rind and nuts in a separate bowl. Gradually add egg mixture to dry ingredients, stirring to form a dough. Turn out on to a lightly floured surface. Knead briefly then halve. Shape into two 25cm-long logs. Place logs on a baking paper-lined oven tray. Bake for 15 minutes. Remove from oven. Stand for 5 minutes.
465	3	Step 3	Slice logs diagonally into 5mm-thick slices. Place slices on oven trays and return to oven for 10 minutes or until dry. Cool on a wire rack, then store in an airtight container for up to 2 days.
466	1	Step 1	Preheat oven to 160°C/140°C fan-forced. Grease a 6cm-deep, 22cm round cake pan. Line base and sides with 2 layers of baking paper.
466	2	Step 2	Place chocolate in a microwave-safe bowl. Microwave on MEDIUM (50%), stirring every 30 seconds with a metal spoon, for 2 minutes or until smooth. Set aside to cool slightly.
466	3	Step 3	Using an electric mixer, beat butter, sugar and vanilla until light and fluffy. Add eggs, 1 at a time, beating well after each addition. Add cooled chocolate. Beat until just combined.
466	4	Step 4	Sift flour and cocoa powder together. Fold ½ the flour mixture into chocolate mixture. Fold ½ the milk into chocolate mixture. Repeat with remaining flour mixture and milk. Spoon mixture into prepared pan. Smooth surface.
466	5	Step 5	Bake for 1 hour to 1 hour 10 minutes or until a skewer inserted into centre of cake comes out clean (cover with foil if over-browning). Stand in pan for 15 minutes. Turn out onto a wire rack to cool completely.
466	6	Step 6	Using a spatula, spread chocolate-hazelnut spread all over top of cake. Decorate with Easter eggs. Serve.
467	1	Step 1	Grease two 6cm-deep, 22cm round cake pans. Line base and sides with baking paper. Combine butter, sugar, 3 1/3 cups cold water, cocoa and bicarbonate of soda in a large saucepan over medium-high heat. Cook, stirring for 5 minutes or until smooth. Bring to the boil. Reduce heat to low. Simmer for 5 minutes, stirring occasionally. Set aside to cool completely. Preheat oven to 180°C/160°C fan-forced.
467	2	Step 2	Transfer chocolate mixture to a large bowl. Using an electric mixer, beat chocolate mixture, flours, hazelnut and eggs for 5 minutes or until combined and mixture becomes lighter in colour.
467	3	Step 3	Divide mixture evenly between prepared pans.
467	4	Step 4	Bake for 1 hour 15 minutes or until a skewer inserted into centre of cake comes out clean (cover cake loosely with foil if over-browning during cooking). Stand cakes in pans for 15 minutes. Turn on to a wire rack to cool.
467	5	Step 5	Using an electric mixer, beat butter until light and fluffy. Gradually beat in icing sugar and cocoa. Add milk and beat.
467	6	Step 6	Trim top of one cake to level. Place on plate. Spread with 1 cup frosting. Top with untrimmed cake. Spread remaining frosting over top and side of cake. Decorate top with chocolate curls. Serve.
468	1	Step 1	Preheat oven to 180°C/160°C fan-forced. Grease a 3cm-deep, 19cm x 30cm (base) baking tray. Place chocolate in a microwave-safe bowl. Microwave, uncovered, on high (100%) for 1 minute 30 seconds, stirring with a metal spoon every 30 seconds, or until smooth. Set aside to cool slightly.
468	2	Step 2	Using an electric mixer, beat butter, sugar and vanilla until light and fluffy. Add eggs, 1 at a time, beating well after each addition (mixture will curdle). Add chocolate. Beat for 1 minute or until just combined. Add hazelnut meal and flour. Stir until just combined. Spoon into prepared pan. Smooth top. Bake for 30 minutes or until a skewer inserted in centre comes out clean. Set aside to cool slightly.
468	3	Step 3	Meanwhile, make spiced oranges: Place sugar in a large, heavy-based, frying pan over medium heat. Cook, shaking, for 6 to 8 minutes or until sugar has melted. Reduce heat to medium-low. Cook orange slices in sugar, in batches, for 4 to 5 minutes each side or until golden and tender.
468	4	Step 4	Arrange oranges, overlapping, over cake. Carefully add orange juice and cinnamon to pan (mixture may spatter). Cook, stirring, for 2 to 3 minutes or until sugar has dissolved. Bring to the boil. Boil without stirring for 3 minutes or until slightly thickened. Drizzle over orange slices. Serve.
469	1	Step 1	Preheat oven to 200°C/180°C fan-forced. Line a baking tray with baking paper. Place 1 sheet pastry on work surface. Brush with butter. Top with remaining sheet. Brush with butter. Cut pastry into quarters. Cut each piece in half to make 8 pieces. Combine nuts and honey in a bowl. Spoon 1 tablespoon nut mixture over each piece. Brush pastry  edges with butter. Starting from 1 long side, roll up pastry to enclose filling, folding in edges to make cigar shapes.
469	2	Step 2	Place cigars on prepared tray. Brush with remaining butter. Bake for 8 to 10 minutes or until golden and crisp. Cool.
469	3	Step 3	Place chocolate in a heatproof, microwave-safe bowl. Microwave, uncovered, on high (100%) for 1 to 2 minutes, stirring every 30 seconds, or until melted and smooth.
469	4	Step 4	Pour chocolate into a small jug. Dip half of each cigar in chocolate. Place on a wire rack to set. Serve.
470	1	Step 1	Preheat oven to 180°C?. Grease and line a 24cm (base) springform cake pan.
470	2	Step 2	Using an electric mixer, beat eggs and sugar on high speed for 8 to 10 minutes, or until pale and thick. Sift flour, cocoa and cornflour over egg mixture.
470	3	Step 3	Using a large metal spoon, gently fold ingredients together until just combined. Fold in milk. Spoon mixture into prepared cake pan.
470	4	Step 4	Bake for 40 to 45 minutes, or until a skewer inserted into the centre comes out clean. Cool in pan for 10 minutes. Turn onto a wire rack to cool.
470	5	Step 5	Make ganaches: Place milk chocolate and cream into a heatproof bowl over a saucepan of simmering water. Stir constantly with a metal spoon until smooth. Remove from heat. Refrigerate until thick enough to spread. Repeat step 5 with dark chocolate and cream.
470	6	Step 6	Make petals: Line a baking tray with baking paper. Use a small brush to paint petals with eggwhite. Sprinkle with sugar. Place onto tray until set.
470	7	Step 7	Using a serrated knife, slice cake into 4 even rounds. Place bottom round onto a serving plate. Spread with one-third of the milk chocolate ganache. Sprinkle with one-third of the hazelnuts. Repeat twice more, finishing with cake. Spread top and sides of cake with dark chocolate ganache. Decorate with sugared petals.
471	1	Step 1	Preheat oven to 160°C. Line 2 baking trays with non-stick baking paper. Use an electric beater to beat the butter in a bowl until pale and creamy. Add the flour, icing sugar mixture, cornflour and cocoa powder, and stir with a wooden spoon until well combined.
471	2	Step 2	Use your hands to roll teaspoonsful of the chocolate mixture into balls. Place the balls, 2cm apart, on the prepared trays. Use a fork dusted in extra cocoa powder to gently flatten. Sprinkle evenly with demerara sugar. Bake in preheated oven, swapping trays halfway through cooking, for 15 minutes or until cooked through. Remove from oven and set aside to cool on the trays for 30 minutes.
471	3	Step 3	Meanwhile, place chocolate in a small heatproof bowl over a saucepan half-filled with simmering water (make sure the bowl doesn't touch the water). Use a metal spoon to stir occasionally until the chocolate melts and is smooth. Remove from heat and set aside for 3 minutes to cool. Add the unsalted butter, chocolate hazelnut spread and extra icing sugar mixture. Use an electric beater to beat the mixture until well combined.
471	4	Step 4	Spread the chocolate mixture over the flat side of half the cooled biscuits and then sandwich together with the remaining biscuits.
472	1	Step 1	Preheat the oven to 140°C. Line 2 baking trays with baking paper.
472	2	Step 2	Whiz chocolate in a food processor until very finely chopped, then place in a bowl with hazelnut meal, cocoa and icing sugar, stirring to combine. Set aside.
472	3	Step 3	Whisk eggwhites in an electric mixer on medium speed for 2-3 minutes until soft peaks start to form. Increase the speed to high. Add caster sugar, 1 tablespoon at a time and whisking constantly, then add the vinegar and whisk until glossy stiff peaks.
472	4	Step 4	Gently fold the chocolate mixture into the meringue – don’t overmix, it doesn’t need to be thoroughly combined.
472	5	Step 5	Transfer meringue mixture to a large piping bag fitted with a 2cm fluted nozzle. Pipe small dollops of meringue (about the size of a 20-cent coin) on to the trays, spaced 3cm apart (or use a teaspoon to dollop the mixture onto the trays). Bake for 35-45 minutes, swapping trays halfway through to ensure even cooking, until the bases are firm, but meringues are still chewy in the centre. Transfer to wire racks to cool completely.
472	6	Step 6	Place cooled meringue in cellophane bags and tie with ribbon. They’re great on their own or crumbled over ice cream.
473	1	Step 1	Process flour, icing sugar and butter in a food processor until the mixture resembles fine breadcrumbs. Add egg. Process until the dough just comes together. Turn onto a lightly floured surface and knead until just smooth. Wrap in plastic wrap. Place in the fridge for 30 minutes to rest.
473	2	Step 2	Roll out the pastry on a floured surface to a 4mm-thick disc. Line a 3cm-deep, 22cm (base measurement) round fluted tart tin, with removable base, with pastry. Trim excess. Place in the fridge for 15 minutes to chill.
473	3	Step 3	Preheat oven to 200°C. Line pastry with non-stick baking paper. Fill with pastry weights or rice. Bake for 10 minutes. Remove paper and pastry weights or rice. Bake for a further 10 minutes or until the pastry is light golden.
473	4	Step 4	Place chocolate and honey in a large heatproof bowl over a saucepan half-filled with simmering water. Stir with a metal spoon until chocolate melts and is smooth. Set aside to cool slightly. Whisk in sugar, egg and extra flour. Pour into pastry case. Bake for 15-20 minutes or until almost set.
473	5	Step 5	Reduce oven temperature to 180°C. Spread hazelnuts over a baking tray. Bake for 5-8 minutes or until toasted. Place in a tea towel. Rub to remove skins. Line baking tray with non-stick baking paper. Place hazelnuts on lined tray.
473	6	Step 6	Heat the water and extra sugar in a small saucepan over low heat, tilting the pan occasionally, until sugar dissolves. Increase heat to medium-high. Bring to the boil. Boil, without stirring, for 3 minutes or until golden. Pour over the hazelnuts. Set aside to cool. Break into shards.
473	7	Step 7	Top the tart with the praline. Dust with icing sugar.
474	1	Step 1	Preheat oven to 180°C/160°C fan forced. Grease a 5cm-deep, 22cm x 32cm (base) baking dish. Line base and long sides with baking paper, allowing a 2cm overhang.
474	2	Step 2	Using an electric mixer, beat butter and sugar in a large bowl until light and fluffy. Add egg yolks, 1 at a time, beating until combined. Stir in liqueur, chocolate, hazelnut meal, breadcrumbs, flour and cocoa. Wash and dry beaters.
474	3	Step 3	Using an electric mixer, beat eggwhites in a bowl until soft peaks form. Fold half the eggwhites into chocolate mixture. Fold in remaining eggwhites. Pour into prepared dish. Place dish in a larger pan. Pour boiling water into pan until halfway up sides of baking dish. Bake for 50 minutes or until a skewer inserted in centre comes out with moist crumbs clinging. Stand in pan for 10 minutes. Lift onto a wire rack.
474	4	Step 4	Meanwhile, make custard Combine custard and liqueur in a bowl. Combine strawberries, raspberries and cherries in a bowl. Dust pudding with cocoa powder. Serve warm or cold with boozy custard and berry mixture.
475	1	Step 1	Preheat an oven to 170°C. Spread the bread with Nutella and cut into 2cm squares. Divide the bread squares between 4 x 1-cup capacity ramekins. Sit the ramekins in a baking dish and fill the baking dish with water to come halfway up the sides of the ramekins.
475	2	Step 2	Whisk together the eggs, custard powder and sugar. Whisk in the milk gradually. Pour the custard over the bread and sprinkle with the hazelnuts. Bake for 25-30 minutes or until puffed and golden. Serve immediately.
476	1	Step 1	Preheat oven to 160C. Lightly grease six 2/3 cup (160ml) ovenproof dishes and place on an oven tray.
476	2	Step 2	Combine the milk, chocolate, butter, chocolate-hazelnut spread and cocoa powder in a small saucepan over low heat. Cook, stirring occasionally, for 5 minutes or until chocolate melts and mixture is smooth. Remove from heat and set aside for 5 minutes to cool slightly.
476	3	Step 3	Place the flour, hazelnut meal, caster sugar and 2 tablespoons of the brown sugar in a large bowl. Add the chocolate mixture and egg and stir to combine. Pour mixture evenly among the prepared dishes.
476	4	Step 4	Combine the extra cocoa powder and remaining brown sugar in jug. Add the boiling water and stir to combine. Pour evenly among the dishes, over the batter. Cook in preheated oven for 15-20 minutes or until puddings rise and are just cooked though. Remove from heat. Set aside for 5 minutes to cool slightly.
476	5	Step 5	Meanwhile, to make the chocolate sauce, combine the butter, chocolate, chocolate-hazelnut spread and cream in a small saucepan over low heat. Cook, stirring, for 5 minutes or until chocolate and butter melt, and mixture is smooth.
476	6	Step 6	Top the warm puddings with ice-cream or thickened cream and drizzle with hot chocolate sauce. Serve immediately.
477	1	Step 1	Place milk chocolate and butter in a heatproof, microwave-safe bowl. Microwave, uncovered, on medium (50%) for 1 to 2 minutes, stirring every minute with a metal spoon, until almost melted. Stir until smooth. Set aside for 30 minutes or until thick enough to roll into balls.
477	2	Step 2	Roll teaspoons of chocolate mixture into balls. Push 1 hazelnut into the centre of each ball and re-roll to enclose. Place on a plate and refrigerate until set.
477	3	Step 3	Place dark chocolate in a heatproof, microwave-safe bowl. Microwave, uncovered, on medium (50%) for 1 minute, stirring with a metal spoon, until almost melted. Stir until smooth. Allow to cool slightly.
477	4	Step 4	Place truffles on a wire rack over a tray. Spoon chocolate into a small snap-lock bag. Using scissors, snip 1 corner from bag and pipe chocolate over truffles to decorate. Refrigerate until firm. Serve.
478	1	Step 1	Make pastry: Place flour, sugar and butter in a food processor. Process until mixture resembles fine breadcrumbs. Add egg. Process until dough just comes together. Turn pastry onto a lightly floured surface. Knead until just smooth. Shape into a disc. Cover with plastic wrap. Refrigerate for 30 minutes.
478	2	Step 2	Preheat oven to 180°C. Grease four 3cm-deep, 10cm (base) loose-based fluted tart pans. Roll out pastry between 2 sheets of baking paper until 5mm thick. Using a 13cm cutter, cut 4 rounds from pastry. Line pans with pastry. Refrigerate for 10 minutes.
478	3	Step 3	Place pans on a baking tray. Line pastry cases with baking paper. Fill with uncooked rice or ceramic pie weights. Bake for 12 to 14 minutes or until edges are light golden. Remove baking paper and rice or pie weights. Bake for 5 minutes or until base is light golden. Set aside to cool.
478	4	Step 4	Meanwhile, reduce oven to 160°C. Divide Snickers between pastry cases. Combine chocolate and cream in a small saucepan over low heat. Cook, stirring, for 3 to 4 minutes or until melted and smooth. Allow to cool for 5 minutes.
478	5	Step 5	Using an electric mixer, beat egg, egg yolks and sugar until light and fluffy. Add chocolate mixture. Fold in until just combined. Pour mixture into pastry cases. Bake for 25 minutes or until just set. Allow tarts to cool in pans for 10 minutes. Refrigerate for 2 hours or until cold. Dust tarts with icing sugar to form a heart shape (see note). Serve.
479	1	Step 1	Line a 20 x 30cm slice tin with baking paper. Cut 16 biscuits in 1/2 lengthways then chop 8 biscuits into crumbs.
479	2	Step 2	Place butter, sugar, vanilla and chocolate in a bowl over a saucepan of simmering water. Stir over medium heat until smooth. Remove from heat. Whisk in egg then stir in hazelnuts, biscuit crumbs and fruit (if using).
479	3	Step 3	Spoon 1/2 the mixture over base of tin. Top with biscuit halves, widthways in 4 lines. Spoon over remaining mixture to cover biscuits. Refrigerate overnight or until firm then turn on to a board and cut into squares.
480	1	Step 1	Preheat oven to 180°C. Grease an 8 x 2/3-cup capacity rectangular muffin pan or 16 x 1/3-cup capacity muffin holes.
480	2	Step 2	Using an electric mixer, beat cake mix, water, oil and eggs on low speed until combined. Increase speed to medium for 2 minutes. Spoon into prepared pan.
480	3	Step 3	Press 3 to 4 Violet Crumble Bites into centre of each cake. Bake for 20 to 25 minutes or until a skewer inserted into the centre comes out clean. Cool in pan for 10 minutes. Turn onto a wire rack.
480	4	Step 4	Add water to frosting (from cake packet). Whisk. Drizzle over cakes. Serve.
481	1	Step 1	Preheat oven to 180C/160C fan-forced. Grease a 2cm-deep, 23cm x 33cm baking tray. Line base and sides with baking paper, extending paper 1cm above edges of tray.
481	2	Step 2	Using an electric mixer, beat eggs and sugar for 8 to 10 minutes or until mixture is thick and creamy (mixture should form ribbons when falling from beaters). Sift over cocoa and flour. Fold in until just combined. Add dark chocolate and milk. Fold in until combined. Spoon mixture into prepared tray and gently spread to level.
481	3	Step 3	Bake for 10 to 13 minutes or until sponge is just firm to the touch. Sift extra cocoa powder onto a large sheet of baking paper. Turn out sponge immediately onto prepared paper. Peel away baking paper from top of sponge and discard. Trim edges of sponge, if needed. Keeping sponge on dusted paper, roll up from 1 short side. Cover with a tea towel and set aside to cool completely.
481	4	Step 4	Meanwhile, make White chocolate sauce Place chocolate and cream in a microwave-safe bowl. Microwave on HIGH (100%) for 30 seconds to 1 minute or until smooth, stirring to combine (see Notes). Set aside for 15 minutes.
481	5	Step 5	Using an electric mixer, beat cream until soft peaks form. Fold through 1/2 the Violet Crumble.
481	6	Step 6	Unroll sponge. Spread cream mixture over sponge, leaving a 2cm border at the short end furthest away from you. Using paper as a guide, carefully roll up sponge to enclose cream. Transfer to a plate, seam-side down. Drizzle with some of the chocolate sauce. Sprinkle remaining Violet Crumble over sauce. Serve roulade with remaining sauce.
482	1	Step 1	Preheat oven to 180°C/160°C fan-forced.
482	2	Step 2	Combine caster sugar, flour and 2 tablespoons cocoa in a bowl. Stir in milk, melted butter and half the Violet Crumble bar. Spoon mixture into an 8-cup capacity ovenproof dish.
482	3	Step 3	Sift remaining cocoa over mixture. Sprinkle with brown sugar. Place on a baking tray. Pour the boiling water over the back of a large metal spoon to cover pudding. Bake for 30 to 35 minutes or until top has set. Sprinkle pudding with remaining Violet Crumble bar. Stand for 5 minutes. Serve immediately with ice-cream.
483	1	Step 1	Split the hot cross buns and butter each half. Lay the bases in a 2-litre (8-cup) baking dish, sprinkle with the chopped dark chocolate, then place the bun tops on the bases.
483	2	Step 2	Place the vanilla pod and seeds in a saucepan with the creams and zest, and heat over low heat until just simmering. Remove from the heat.
483	3	Step 3	Beat the eggs, sugar and brandy until just combined, then pour into the warm cream, stirring continuously. Strain the custard evenly over the buns and set the pudding aside for 30 minutes for the buns to soak up some of the custard. (The pudding can be prepared to this stage several hours in advance and refrigerated - just bring to room temperature before baking.)
483	4	Step 4	When ready to cook, preheat the oven to 170°C.
483	5	Step 5	Place the pudding dish in a large roasting pan and pour enough boiling water into the roasting pan to come halfway up the sides of the pudding dish. Place in the oven for about 45 minutes or until the custard is set. Dust with icing sugar and serve with extra cream if desired.
